Fund Holdings as of,"26/Feb/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"ICSUAGD","BLK ICS USD LIQ AGENCY DIS","Cash and/or Derivatives","Money Market","9,612,287.28","0.12","9,612,287.28","9,612,287.00","1.00","Ireland","-","USD"
"2327","YAGEO CORP","Information Technology","Equity","9,557,692.86","0.12","9,557,692.86","1,001,024.00","9.55","Taiwan","Taiwan Stock Exchange","TWD"
"1303","NAN YA PLASTICS CORP","Materials","Equity","9,479,715.48","0.12","9,479,715.48","3,223,000.00","2.94","Taiwan","Taiwan Stock Exchange","TWD"
"329180","HD HYUNDAI HEAVY INDUSTRIES LTD","Industrials","Equity","9,425,003.68","0.12","9,425,003.68","22,702.00","415.16","Korea (South)","Korea Exchange (Stock Market)","KRW"
"ETE","NATIONAL BANK OF GREECE SA","Financials","Equity","9,286,333.56","0.12","9,286,333.56","548,295.00","16.94","Greece","Athens Exchange S.A. Cash Market","EUR"
"ADVANC.R","ADVANCED INFO SERVICE NON-VOTING D","Communication","Equity","9,170,871.60","0.11","9,170,871.60","704,500.00","13.02","Thailand","Stock Exchange Of Thailand","THB"
"HCLTECH","HCL TECHNOLOGIES LTD","Information Technology","Equity","9,156,243.65","0.11","9,156,243.65","606,068.00","15.11","India","National Stock Exchange Of India","INR"
"SBSP3","COMPANHIA DE SANEAMENTO BASICO DE","Utilities","Equity","9,135,332.59","0.11","9,135,332.59","302,107.00","30.24","Brazil","XBSP","BRL"
"HINDALCO","HINDALCO INDUSTRIES LTD","Materials","Equity","9,057,505.87","0.11","9,057,505.87","874,809.00","10.35","India","National Stock Exchange Of India","INR"
"207940","SAMSUNG BIOLOGICS LTD","Health Care","Equity","9,040,849.96","0.11","9,040,849.96","7,300.00","1,238.47","Korea (South)","Korea Exchange (Stock Market)","KRW"
"ABG","ABSA GROUP LTD","Financials","Equity","9,035,643.40","0.11","9,035,643.40","529,706.00","17.06","South Africa","Johannesburg Stock Exchange","ZAR"
"2328","PICC PROPERTY AND CASUALTY LTD H","Financials","Equity","9,022,392.09","0.11","9,022,392.09","4,376,000.00","2.06","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ABEV3","AMBEV SA","Consumer Staples","Equity","8,984,075.66","0.11","8,984,075.66","2,814,983.00","3.19","Brazil","XBSP","BRL"
"6669","WIWYNN CORPORATION CORP","Information Technology","Equity","8,971,196.05","0.11","8,971,196.05","70,000.00","128.16","Taiwan","Taiwan Stock Exchange","TWD"
"373220","LG ENERGY SOLUTION LTD","Industrials","Equity","8,899,339.39","0.11","8,899,339.39","29,719.00","299.45","Korea (South)","Korea Exchange (Stock Market)","KRW"
"300750","CONTEMPORARY AMPEREX TECHNOLOGY LT","Industrials","Equity","8,794,078.14","0.11","8,794,078.14","173,894.00","50.57","China","Shenzhen Stock Exchange","CNY"
"ADCB","ABU DHABI COMMERCIAL BANK","Financials","Equity","8,752,369.42","0.11","8,752,369.42","2,039,813.00","4.29","United Arab Emirates","Abu Dhabi Securities Exchange","AED"
"010140","SAMSUNG HEAVY INDUSTRIES LTD","Industrials","Equity","8,611,066.73","0.11","8,611,066.73","427,838.00","20.13","Korea (South)","Korea Exchange (Stock Market)","KRW"
"2020","ANTA SPORTS PRODUCTS LTD","Consumer Discretionary","Equity","8,603,357.92","0.11","8,603,357.92","797,000.00","10.79","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"032830","SAMSUNG LIFE LTD","Financials","Equity","8,577,484.48","0.11","8,577,484.48","51,176.00","167.61","Korea (South)","Korea Exchange (Stock Market)","KRW"
"086520","ECOPRO LTD","Industrials","Equity","8,543,640.24","0.11","8,543,640.24","66,139.00","129.18","Korea (South)","Korea Exchange (Kosdaq)","KRW"
"042660","HANWHA OCEAN LTD","Industrials","Equity","8,514,968.97","0.11","8,514,968.97","86,728.00","98.18","Korea (South)","Korea Exchange (Stock Market)","KRW"
"051910","LG CHEM LTD","Materials","Equity","8,500,985.31","0.11","8,500,985.31","31,082.00","273.50","Korea (South)","Korea Exchange (Stock Market)","KRW"
"009540","HD KOREA SHIPBUILDING & OFFSHORE E","Industrials","Equity","8,491,938.71","0.11","8,491,938.71","26,790.00","316.98","Korea (South)","Korea Exchange (Stock Market)","KRW"
"035720","KAKAO CORP","Communication","Equity","8,439,868.02","0.10","8,439,868.02","196,007.00","43.06","Korea (South)","Korea Exchange (Stock Market)","KRW"
"KGH","KGHM POLSKA MIEDZ SA","Materials","Equity","8,246,818.97","0.10","8,246,818.97","91,726.00","89.91","Poland","Warsaw Stock Exchange/Equities/Main Market","PLN"
"1109","CHINA RESOURCES LAND LTD","Real Estate","Equity","8,215,213.53","0.10","8,215,213.53","2,016,000.00","4.08","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2890","SINOPAC FINANCIAL HOLDINGS LTD","Financials","Equity","8,174,728.00","0.10","8,174,728.00","7,684,983.00","1.06","Taiwan","Taiwan Stock Exchange","TWD"
