Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
JP3419400001,SEKISUI CHEMICAL CO LTD,Industrials,Equity,,0.135859,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3942800008,YAMAHA MOTOR CO LTD,Consumer Discretionary,Equity,,0.135750,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3774200004,HANKYU HANSHIN HOLDINGS INC,Industrials,Equity,,0.134597,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3749400002,NIPPON PAINT HOLDINGS CO LTD,Materials,Equity,,0.132299,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3711600001,NIPPON SANSO HOLDINGS CORP,Materials,Equity,,0.130248,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3933800009,LY CORP,Communication Services,Equity,,0.130224,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3486800000,DAITO TRUST CONSTRUCT CO LTD,Real Estate,Equity,,0.129026,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3574200006,TOKYU CORP,Industrials,Equity,,0.122681,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3357200009,SHIMADZU CORP,Information Technology,Equity,,0.122466,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3343200006,SANRIO CO LTD,Consumer Discretionary,Equity,,0.121845,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3240400006,KIKKOMAN CORP,Consumer Staples,Equity,,0.121246,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3417200007,SEIBU HOLDINGS INC,Industrials,Equity,,0.119116,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3435350008,SONY FINANCIAL GROUP INC,Financials,Equity,,0.118787,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3429300001,ZENSHO HOLDINGS CO LTD,Consumer Discretionary,Equity,,0.117230,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3360800001,HULIC CO LTD,Real Estate,Equity,,0.116219,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3672400003,NISSAN MOTOR CO LTD,Consumer Discretionary,Equity,,0.115643,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3223800008,KAWASAKI KISEN KAISHA LTD,Industrials,Equity,,0.115398,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3233250004,JAPAN POST INSURANCE LTD,Financials,Equity,,0.114094,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3869010003,MATSUKIYOCOCOKARA + CO,Consumer Staples,Equity,,0.102636,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3598600009,TOHO CO LTD,Communication Services,Equity,,0.099239,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3783420007,HIKARI TSUSHIN INC,Industrials,Equity,,0.096103,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3351100007,SYSMEX CORP,Health Care,Equity,,0.091673,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3435750009,M3 INC,Health Care,Equity,,0.090613,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3188200004,OTSUKA CORP,Information Technology,Equity,,0.087122,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3336560002,SUNTORY BEVERAGE & FOOD LTD,Consumer Staples,Equity,,0.083661,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3256000005,KYOWA KIRIN CO LTD,Health Care,Equity,,0.082377,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3104890003,TIS INC,Information Technology,Equity,,0.080928,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3536150000,TSURUHA HOLDINGS INC,Consumer Staples,Equity,,0.072283,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3399310006,ZOZO INC,Consumer Discretionary,Equity,,0.064856,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3429800000,ANA HOLDINGS INC,Industrials,Equity,,0.063602,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3922950005,MONOTARO CO LTD,Industrials,Equity,,0.063037,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3705200008,JAPAN AIRLINES CO LTD,Industrials,Equity,,0.054261,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3689500001,ORACLE CORP JAPAN,Information Technology,Equity,,0.044988,,,,Japan,Tokyo Stock Exchange,JPY,,,
