period_start,isin,api_name,amount,individuals,count
2020-08-01,EE3600109393,Swedbanki pensionifond indeks 1990-99 sündinutele,638016.27,8511,13237
2020-08-01,EE3600019733,Swedbanki pensionifond Konservatiivne,619727.9,5686,10569
2020-08-01,EE3600109435,Tuleva Maailma Aktsiate Pensionifond,1812070.78,14115,26369
2020-08-01,EE3600109443,Tuleva Maailma Võlakirjade Pensionifond,134508.16,1191,1902
2020-09-01,EE3600019832,LHV Pensionifond Ettevõtlik,2723185.47,72999,82915
2020-09-01,EE3600109401,LHV Pensionifond Indeks,169203.07,3779,4220
2020-09-01,EE3600019766,LHV Pensionifond Julge,936413.94,26034,29455
2020-09-01,EE3600019782,LHV Pensionifond Rahulik,103806.88,2332,2563
2020-09-01,EE3600001723,LHV Pensionifond Roheline,28170.95,682,758
2020-09-01,EE3600019824,LHV Pensionifond S,209819.85,4800,5369
2020-09-01,EE3600019774,LHV Pensionifond Tasakaalukas,517131.35,10405,11760
2020-09-01,EE3600103503,Luminor 16-50 pensionifond,275580.34,6969,8022
2020-09-01,EE3600098430,Luminor 50-56 pensionifond,755218.65,19081,21944
2020-09-01,EE3600098448,Luminor 56+ pensionifond,86190.65,1808,2040
2020-09-01,EE3600098455,Luminor 61-65 pensionifond,96636.05,2164,2399
2020-09-01,EE3600103297,SEB Energiline Pensionifond,753636.87,22889,25593
2020-09-01,EE3600001699,SEB pensionifond 18+,15182.05,452,503
2020-09-01,EE3600019725,SEB pensionifond 55+,1945393.28,56314,63001
2020-09-01,EE3600098612,SEB pensionifond 60+,149535.28,3834,4278
2020-09-01,EE3600019717,SEB pensionifond 65+,248312.97,6017,6668
2020-09-01,EE3600109427,SEB pensionifond indeks,185671.03,5249,5751
2020-09-01,EE3600019741,Swedbanki pensionifond 1960-69 sündinutele,1211425.93,29020,32275
2020-09-01,EE3600019758,Swedbanki pensionifond 1970-79 sündinutele,2873182.03,88624,99018
2020-09-01,EE3600103248,Swedbanki pensionifond 1980-89 sündinutele,2254940.26,69186,77220
2020-09-01,EE3600109393,Swedbanki pensionifond indeks 1990-99 sündinutele,232967.58,8627,9399
2020-09-01,EE3600019733,Swedbanki pensionifond Konservatiivne,270498.49,5372,5900
2020-09-01,EE3600109435,Tuleva Maailma Aktsiate Pensionifond,636281.18,13702,15719
2020-09-01,EE3600109443,Tuleva Maailma Võlakirjade Pensionifond,45478.5,1116,1224
2020-10-01,EE3600019832,LHV Pensionifond Ettevõtlik,2933049.81,74206,85590
2020-10-01,EE3600109401,LHV Pensionifond Indeks,168590.23,3699,4192
2020-10-01,EE3600019766,LHV Pensionifond Julge,989887.11,26729,30521
2020-10-01,EE3600019782,LHV Pensionifond Rahulik,109919.48,2297,2567
2020-10-01,EE3600001723,LHV Pensionifond Roheline,43536.77,1066,1209
2020-10-01,EE3600019824,LHV Pensionifond S,220873.92,4811,5411
2020-10-01,EE3600019774,LHV Pensionifond Tasakaalukas,574986.5,10647,12275
2020-10-01,EE3600103503,Luminor 16-50 pensionifond,273067.53,6873,8037
2020-10-01,EE3600098430,Luminor 50-56 pensionifond,819258.21,19032,22130
2020-10-01,EE3600098448,Luminor 56+ pensionifond,97616.99,1830,2139
2020-10-01,EE3600098455,Luminor 61-65 pensionifond,100602.73,2160,2417
2020-10-01,EE3600103297,SEB Energiline Pensionifond,779566.13,22992,26055
2020-10-01,EE3600001699,SEB pensionifond 18+,16732.36,500,553
2020-10-01,EE3600019725,SEB pensionifond 55+,2137104.76,56956,64670
2020-10-01,EE3600098612,SEB pensionifond 60+,165539.27,3898,4425
2020-10-01,EE3600019717,SEB pensionifond 65+,288283.48,6112,6886
2020-10-01,EE3600109427,SEB pensionifond indeks,194374.55,5218,5780
2020-10-01,EE3600019741,Swedbanki pensionifond 1960-69 sündinutele,1320107.58,29599,33275
2020-10-01,EE3600019758,Swedbanki pensionifond 1970-79 sündinutele,3159983.66,90141,101704
2020-10-01,EE3600103248,Swedbanki pensionifond 1980-89 sündinutele,2302253.8,69215,78092
2020-10-01,EE3600109393,Swedbanki pensionifond indeks 1990-99 sündinutele,246818.65,8931,9808
