stock_id,name,weight,location,sector
301236|China,ISOFTSTONE INFORMATION TECHNOLOGY,0.00038006242760949357,China,Information Technology
600733|China,BAIC BLUEPARK NEW ENERGY TECHNOLOG,0.00038006242760949357,China,Consumer Discretionary
600845|China,SHANGHAI BAOSIGHT SOFTWARE LTD A,0.00038006242760949357,China,Information Technology
300115|China,SHENZHEN EVERWIN PRECISION TECHNOL,0.00038006242760949357,China,Information Technology
601021|China,SPRING AIRLINES LTD A,0.00038006242760949357,China,Industrials
688303|China,XINJIANG DAQO NEW ENERGY LTD A,0.00038006242760949357,China,Information Technology
600918|China,ZHONGTAI SECURITIES LTD A,0.00038006242760949357,China,Financials
601878|China,ZHESHANG SECURITIES LTD A,0.00038006242760949357,China,Financials
300919|China,CNGR ADVANCED MATERIAL LTD A,0.00038006242760949357,China,Industrials
601607|China,SHANGHAI PHARMACEUTICALS HOLDING L,0.00038006242760949357,China,Health Care
300866|China,ANKER INNOVATIONS TECHNOLOGY LTD A,0.00038006242760949357,China,Information Technology
603568|China,ZHEJIANG WEIMING ENVIRONMENT PROTE,0.00038006242760949357,China,Industrials
601991|China,DATANG INTERNATIONAL POWER GENERAT,0.00038006242760949357,China,Utilities
603260|China,HOSHINE SILICON INDUSTRY LTD A,0.00038006242760949357,China,Materials
601216|China,INNER MONGOLIA JUNZHENG ENERGY & C,0.00038006242760949357,China,Materials
600601|China,FOUNDER TECHNOLOGY GROUP LTD A,0.00038006242760949357,China,Information Technology
300251|China,BEIJING ENLIGHT MEDIA LTD A,0.00038006242760949357,China,Communication
601238|China,GUANGZHOU AUTOMOBILE GROUP LTD A,0.00038006242760949357,China,Consumer Discretionary
000002|China,CHINA VANKE LTD A,0.00038006242760949357,China,Real Estate
688187|China,ZHUZHOU CRRC TIMES ELECTRIC LTD A,0.00038006242760949357,China,Industrials
002078|China,SHANDONG SUNPAPER LTD A,0.00038006242760949357,China,Materials
000999|China,CHINA RESOURCES SANJIU MEDICAL AND,0.00038006242760949357,China,Health Care
002555|China,37 INTERACTIVE ENTERTAINMENT NETWO,0.00038006242760949357,China,Communication
601777|China,CHONGQING QIANLI TECHNOLOGY LTD A,0.00038006242760949357,China,Consumer Discretionary
601555|China,SOOCHOW SECURITIES CO LTD A,0.00038006242760949357,China,Financials
601058|China,SAILUN GROUP LTD A,0.00038006242760949357,China,Consumer Discretionary
688347|China,HUA HONG SEMICONDUCTOR LTD A,0.00038006242760949357,China,Information Technology
600027|China,HUADIAN POWER INTERNATIONAL CORP L,0.00038006242760949357,China,Utilities
688375|China,GUOBO ELECTRONICS LTD A,0.00038006242760949357,China,Information Technology
600143|China,KINGFA SCI&TECH LTD A,0.00038006242760949357,China,Materials
600352|China,ZHEJIANG LONGSHENG GROUP LTD A,0.00038006242760949357,China,Materials
600460|China,HANGZHOU SILAN MICROELECTRONICS LT,0.00038006242760949357,China,Information Technology
601456|China,GUOLIAN MINSHENG SECURITIES LTD A,0.00038006242760949357,China,Financials
688599|China,TRINA SOLAR LTD A,0.0003420561848485443,China,Information Technology
688019|China,ANJI MICROELECTRONICS TECHNOLOGY (,0.0003420561848485443,China,Information Technology
603806|China,HANGZHOU FIRST APPLIED MATERIAL LT,0.0003420561848485443,China,Information Technology
002459|China,JA SOLAR TECHNOLOGY LTD A,0.0003420561848485443,China,Information Technology
002517|China,KINGNET NETWORK LTD A,0.0003420561848485443,China,Communication
688578|China,SHANGHAI ALLIST PHARMACEUTICALS LT,0.0003420561848485443,China,Health Care
603606|China,NINGBO ORIENT WIRES & CABLES LTD A,0.0003420561848485443,China,Industrials
688009|China,CHINA RAILWAY SIGNAL & COMMUNICATI,0.0003420561848485443,China,Information Technology
601567|China,NINGBO SANXING MEDICAL ELECTRIC LT,0.0003420561848485443,China,Industrials
000596|China,ANHUI GUJING DISTILLERY LTD A,0.0003420561848485443,China,Consumer Staples
603392|China,BEIJING WANTAI BIOLOGICAL PHARMACY,0.0003420561848485443,China,Health Care
601198|China,DONGXING SECURITIES CORP LTD A,0.0003420561848485443,China,Financials
002465|China,GUANGZHOU HAIGE COMMUNICATIONS GRO,0.0003420561848485443,China,Information Technology
000786|China,BEIJING NEW BUILDING MATERIALS PUB,0.0003420561848485443,China,Industrials
002601|China,LB GROUP LTD A,0.0003420561848485443,China,Materials
688188|China,SHANGHAI FRIENDESS ELECTRONICS TEC,0.0003420561848485443,China,Information Technology
601699|China,SHANXI LUAN ENVIRONMENTAL ENERGY D,0.0003420561848485443,China,Energy
002185|China,TIANSHUI HUATIAN TECHNOLOGY LTD A,0.0003420561848485443,China,Information Technology
002653|China,HAISCO PHARMACEUTICAL GROUP LTD A,0.0003420561848485443,China,Health Care
300413|China,MANGO EXCELLENT MEDIA LTD A,0.0003420561848485443,China,Communication
600588|China,YONYOU NETWORK TECHNOLOGY LTD A,0.0003420561848485443,China,Information Technology
300207|China,SUNWODA ELECTRONIC LTD A,0.0003420561848485443,China,Industrials
300661|China,SG MICRO CORP A,0.0003420561848485443,China,Information Technology
600711|China,CHENGTUN MINING GROUP LTD A,0.0003420561848485443,China,Materials
600642|China,SHENERGY LTD A,0.0003420561848485443,China,Utilities
600600|China,TSINGTAO BREWERY LTD A,0.0003420561848485443,China,Consumer Staples
301269|China,EMPYREAN TECHNOLOGY LTD A,0.0003420561848485443,China,Information Technology
600839|China,SICHUAN CHANGHONG ELECTRIC LTD A,0.0003420561848485443,China,Consumer Discretionary
300628|China,YEALINK NETWORK TECHNOLOGY LTD A,0.0003420561848485443,China,Information Technology
600515|China,HAINAN AIRPORT INFRASTRUCTURE LTD,0.0003420561848485443,China,Real Estate
300765|China,CSPC INNOVATION PHARMACEUTICAL LTD,0.0003420561848485443,China,Health Care
300782|China,MAXSCEND MICROELECTRONICS LTD A,0.0003420561848485443,China,Information Technology
600061|China,SDIC CAPITAL LTD A,0.0003420561848485443,China,Financials
300896|China,IMEIK TECHNOLOGY DEVELOPMENT LTD A,0.0003420561848485443,China,Health Care
002340|China,GEM LTD A,0.0003420561848485443,China,Industrials
601108|China,CAITONG SECURITIES LTD A,0.000304049942087595,China,Financials
000983|China,SHANXI COKING COAL ENERGY GROUP LT,0.000304049942087595,China,Energy
600536|China,CHINA NATIONAL SOFTWARE & SERVICE,0.000304049942087595,China,Information Technology
601162|China,TIANFENG SECURITIES LTD A,0.000304049942087595,China,Financials
000783|China,CHANGJIANG SECURITIES LTD A,0.000304049942087595,China,Financials
002129|China,TCL ZHONGHUAN RENEWABLE ENERGY TEC,0.000304049942087595,China,Information Technology
600745|China,WINGTECH TECHNOLOGY LTD A,0.000304049942087595,China,Information Technology
000876|China,NEW HOPE LIUHE LTD A,0.000304049942087595,China,Consumer Staples
300122|China,CHONGQING ZHIFEI BIOLOGICAL PRODUC,0.000304049942087595,China,Health Care
002939|China,CHINA GREATWALL SECURITIES LTD A,0.000304049942087595,China,Financials
600085|China,BEIJING TONGRENTANG LTD A,0.000304049942087595,China,Health Care
600157|China,WINTIME ENERGY GROUP LTD A,0.000304049942087595,China,Utilities
000564|China,CCOOP GROUP LTD A,0.000304049942087595,China,Consumer Discretionary
688099|China,AMLOGIC (SHANGHAI) LTD A,0.000304049942087595,China,Information Technology
601799|China,CHANGZHOU XINGYU AUTOMOTIVE LIGHTI,0.000304049942087595,China,Consumer Discretionary
603486|China,ECOVACS ROBOTICS LTD A,0.000304049942087595,China,Consumer Discretionary
300748|China,JL MAG RARE-EARTH LTD A,0.000304049942087595,China,Industrials
603195|China,GONEO GROUP LTD A,0.000304049942087595,China,Industrials
300255|China,HEBEI CHANGSHAN BIOCHEMICAL PHARMA,0.000304049942087595,China,Health Care
