period_date,isin,inflow_count,outflow_count,inflow_amount,outflow_amount
2023-05-02,EE3600019832,2118,2522,16848584.08,21234678.94
2023-05-02,EE3600098430,386,1271,4354889.84,12947441.49
2023-05-02,EE3600098448,63,197,568843.66,1827508.92
2023-05-02,EE3600098455,151,254,1659081.43,1724885.0
2023-05-02,EE3600098612,61,108,395132.35,629891.25
2023-05-02,EE3600103248,1762,3109,12484203.98,16491845.09
2023-05-02,EE3600103297,585,884,3559593.63,4937283.55
2023-05-02,EE3600103503,1359,1487,9736754.61,8967263.31
2023-05-02,EE3600109393,4692,1018,19067662.16,2671828.73
2023-05-02,EE3600109401,783,1070,3663454.27,1985722.97
2023-05-02,EE3600109427,1712,974,9685429.19,1504313.67
2023-05-02,EE3600109435,1721,622,13156150.1,3105151.31
2023-05-02,EE3600109443,59,124,457166.32,650117.06
2023-09-01,EE3600001699,570,101,3774213.13,539058.37
2023-09-01,EE3600001723,202,872,696585.4,3693755.9
2023-09-01,EE3600001806,40,35,262453.35,153139.21
2023-09-01,EE3600001814,488,316,5367835.52,359513.98
2023-09-01,EE3600001848,743,18,565689.01,6951.51
2023-09-01,EE3600019717,25,158,97799.6,784068.05
2023-09-01,EE3600019725,120,1216,611961.91,11443993.19
2023-09-01,EE3600019733,120,200,1515152.77,1474282.82
2023-09-01,EE3600019741,939,411,10813625.95,4414531.27
2023-09-01,EE3600019758,965,2160,9049212.18,23678407.56
2023-09-01,EE3600019766,1597,1697,9449316.69,11720885.62
2023-09-01,EE3600019774,203,369,2266799.1,3906081.81
2023-09-01,EE3600019782,14,104,141250.31,525479.06
2023-09-01,EE3600019824,19,182,97165.37,1335611.77
2023-09-01,EE3600019832,1144,3170,8871298.15,35421068.03
2023-09-01,EE3600098430,501,900,6272205.78,10323405.19
2023-09-01,EE3600098448,47,161,513934.91,1716095.16
2023-09-01,EE3600098455,39,176,385247.93,1308968.06
2023-09-01,EE3600098612,40,99,156272.02,724923.12
2023-09-01,EE3600103248,1716,2454,12735364.67,15328078.71
2023-09-01,EE3600103297,483,691,3545216.19,4542231.77
2023-09-01,EE3600103503,2487,1093,23930887.36,6443495.87
2023-09-01,EE3600109393,3573,764,17044489.72,2213394.95
2023-09-01,EE3600109401,610,947,3855760.61,2111931.1
2023-09-01,EE3600109427,1466,883,10913367.46,1781122.56
2023-09-01,EE3600109435,1494,407,15703138.45,2632046.37
2023-09-01,EE3600109443,43,104,430638.43,484360.96
2024-01-02,EE3600001699,875,123,6185770.9,695839.5
2024-01-02,EE3600001723,67,1281,288066.58,5412033.72
2024-01-02,EE3600001806,43,34,187342.63,220693.13
2024-01-02,EE3600001814,727,337,8403818.73,746414.93
2024-01-02,EE3600001848,668,67,665712.79,58569.24
2024-01-02,EE3600019717,16,160,147140.66,974610.03
2024-01-02,EE3600019725,173,1215,1040695.91,12955277.27
2024-01-02,EE3600019733,107,163,1410325.6,1197135.79
2024-01-02,EE3600019741,600,398,7684266.88,5155249.99
2024-01-02,EE3600019758,828,1923,8613901.29,24190797.86
